year,number_accidents_LS,ksi_dec_LS,fatal_dec_LS,ksi_prop_LS,fatal_prop_LS,ksi_count_LS,fatal_count_LS,city
2010,418,0.157894737,0.004784689,15.7894737,0.4784689,66,2,Edinburgh
2011,441,0.174603175,0.004535147,17.4603175,0.4535147,77,2,Edinburgh
2012,410,0.23902439,0.02195122,23.902439,2.195122,98,9,Edinburgh
2013,386,0.160621762,0.005181347,16.0621762,0.5181347,62,2,Edinburgh
2014,433,0.191685912,0.009237875,19.1685912,0.9237875,83,4,Edinburgh
2015,376,0.196808511,0.005319149,19.6808511,0.5319149,74,2,Edinburgh
2016,366,0.196721311,0.005464481,19.6721311,0.5464481,72,2,Edinburgh
2017,314,0.21656051,0.003184713,21.656051,0.3184713,68,1,Edinburgh
2018,260,0.203846154,0.015384615,20.3846154,1.5384615,53,4,Edinburgh
2019,153,0.339869281,0,33.9869281,0,52,0,Edinburgh
2020,140,0.378571429,0.014285714,37.8571429,1.4285714,53,2,Edinburgh
2021,149,0.436241611,0.013422819,43.6241611,1.3422819,65,2,Edinburgh
2022,158,0.424050633,0.018987342,42.4050633,1.8987342,67,3,Edinburgh
2010,435,0.264367816,0.013793103,26.43678161,1.379310345,115,6,Glasgow
2011,420,0.29047619,0.014285714,29.04761905,1.428571429,122,6,Glasgow
2012,446,0.242152466,0.015695067,24.21524664,1.569506726,108,7,Glasgow
2013,369,0.224932249,0.005420054,22.49322493,0.54200542,83,2,Glasgow
2014,378,0.259259259,0.026455026,25.92592593,2.645502646,98,10,Glasgow
2015,362,0.248618785,0.024861878,24.86187845,2.486187845,90,9,Glasgow
2016,377,0.25729443,0.00265252,25.72944297,0.265251989,97,1,Glasgow
2017,297,0.235690236,0.013468013,23.56902357,1.346801347,70,4,Glasgow
2018,263,0.288973384,0.019011407,28.8973384,1.901140684,76,5,Glasgow
2019,226,0.371681416,0.017699115,37.16814159,1.769911504,84,4,Glasgow
2020,152,0.486842105,0.019736842,48.68421053,1.973684211,74,3,Glasgow
2021,158,0.455696203,0.03164557,45.56962025,3.164556962,72,5,Glasgow
2022,212,0.410377358,0.018867925,41.03773585,1.886792453,87,4,Glasgow
